panel,cfg_weight,block_id,anchor_target_rho,lpips_alex,dino_cosine_distance,seed_count,severity_tv,severity_surprisal,connected_components,bounding_box_area,D_desc_rate,descendant_count,first_descendant_step,maximum_seed_to_descendant_radius,descendant_connected_components,descendant_fraction_distance_le_5,split_incidence,expected_seed_count,single_seed_probability,multi_seed_probability,unconditional_lpips_alex,unconditional_dino_cosine_distance
primary_cfg3,3.0,P3S_B016,0.5,0.011017453100066632,0.005612380802631378,1.0,0.014870452525560388,5.705715819828465,1.0,1.0,0.05826271186440678,6.875,27.5,11.375,5.125,0.5638528138528138,0.11037848156974983,0.116052475052617,0.10486490247803736,0.005513579091712455,0.0012160897439512878,0.0006194860709856653
primary_cfg3,3.0,P3S_B017,0.3,0.010509748331969604,0.0030207186937332153,1.125,0.027326607524423962,5.09687700588422,1.125,5.0,0.04525862068965517,2.625,30.333333333333332,6.0,3.5,0.5375,0.27536741997169967,0.3181133037628768,0.2363315372896314,0.039035882682068396,0.002894042282726344,0.0008318075131535983
primary_cfg3,3.0,P3S_B017,0.5,0.0478779545519501,0.009043402969837189,1.125,0.02782322353570439,7.126424555871167,1.125,3.875,0.1483050847457627,17.5,25.375,16.125,12.75,0.41256286816631643,0.18685872436193007,0.2039267627196881,0.1706257135914125,0.01623301077051736,0.008946413512635858,0.001689838742834667
primary_cfg3,3.0,P3S_B018,0.3,0.01929331966675818,0.006708554923534393,1.25,0.029634457965974755,6.310085681669352,1.25,14.875,0.08620689655172414,5.0,30.125,11.875,5.375,0.46041666666666664,0.2426210404480419,0.2750046198859507,0.21268794743389505,0.029933093014147025,0.004680965291245539,0.0016276365754507487
primary_cfg3,3.0,P3S_B018,0.5,0.04159616073593497,0.008608534932136536,1.0,0.01791914262620114,5.773295668383913,1.0,1.0,0.09110169491525424,10.75,26.75,16.5,10.25,0.3617559523809524,0.15028803935128332,0.1611111213100413,0.13988936663539162,0.010398672715891663,0.006251405441544501,0.0012937598366378328
primary_cfg3,3.0,P3S_B019,0.3,0.022539248573593795,0.007459886372089386,1.125,0.01899437464919321,6.40248821172482,1.125,11.875,0.08189655172413793,4.75,30.375,12.0,5.0,0.5360119047619047,0.20599465191874844,0.22870448820781894,0.18472453078248727,0.021270121136261148,0.004642964664427601,0.0015366966965719682
primary_cfg3,3.0,P3S_B019,0.5,0.03791607078164816,0.012835882604122162,1.0,0.017593411291870188,6.445251557907746,1.0,1.0,0.09322033898305085,11.0,26.5,14.25,9.25,0.38995098039215687,0.13839705621697596,0.1474527016304472,0.12966352243091653,0.008733533786059355,0.005247472579494599,0.0017764483663571986
primary_cfg3,3.0,P3S_B020,0.3,0.0021082070234115236,0.0007575824856758118,1.25,0.02047329586873324,4.291994220745179,1.25,6.875,0.017241379310344827,1.0,30.833333333333332,6.25,2.0,0.375,0.21195589282553462,0.23594141517890832,0.18951790411566272,0.022437988709872018,0.0004468469019082522,0.0001605740721404045
primary_cfg3,3.0,P3S_B020,0.5,0.022912601882126182,0.005689293146133423,1.125,0.021237077160797785,5.875424258719194,1.125,7.125,0.07521186440677965,8.875,25.857142857142858,8.75,8.125,0.4858100233100233,0.12259390500095568,0.12962387356528096,0.11578415276740317,0.006809752233552468,0.0028089453384620958,0.0006974726634796691
primary_cfg3,3.0,P3S_B021,0.3,0.014744600630365312,0.005206368863582611,1.0,0.02180141797314962,6.569771704231056,1.0,1.0,0.07327586206896552,4.25,30.375,12.25,4.125,0.69375,0.24850988989003575,0.2826330719143408,0.21703649589237148,0.031473393997664335,0.0036641790791246353,0.0012938341530158253
